,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi3.30Zm1.79T01.5000_iTp0.00_ACFep00_aFem02,-0.14695171940580282,-0.11032382246613828,0.0882875234108988,-0.25118489885186657,0.11688783564163349,0.6638586538310568,0.8626728389490723,0.4708515816162419,0.6113608354686472,0.6440542995728287,0.35253971664305384,0.12362826251013768,0.13440410253307344,0.5405279564625594,0.7501129602052887
Mbi3.30Zm1.79T01.7500_iTp0.00_ACFep00_aFem02,-0.1442415227570254,-0.1083015746334342,0.08702769455449891,-0.21293119034424873,0.11621593131704547,0.6679592561246223,0.8500932774076101,0.46428857589702915,0.616658976964528,0.6532060365089332,0.3536370661651814,0.12402553357858617,0.1305367313645887,0.539498716637145,0.7312408342160098
Mbi3.30Zm1.79T02.0000_iTp0.00_ACFep00_aFem02,-0.1403138256062392,-0.1053813243529034,0.08957809930440662,-0.15418399143158867,0.12123997238999806,0.6863259857052416,0.8672730513335603,0.46958586582735573,0.6280244015805997,0.664801111323481,0.35784292562307163,0.1260118325472706,0.1314717013830991,0.5474914911131156,0.7264489463431497
Mbi3.30Zm1.79T02.2500_iTp0.00_ACFep00_aFem02,-0.1328073616932439,-0.09942252994047243,0.08943120513891376,-0.05631193058430542,0.1348955396646993,0.7032246670821977,0.8899315833094403,0.47542449377653556,0.6398069410562929,0.6778318091657686,0.36221661827156937,0.12636568527924044,0.13185626978174514,0.5560950621022673,0.7216310141097662
Mbi3.30Zm1.79T02.5000_iTp0.00_ACFep00_aFem02,-0.12597831530537906,-0.09367806684814135,0.0924792465862353,0.0276391515169083,0.14329452132019924,0.7240745927380484,0.9060918097729811,0.4828314699589383,0.6565176281679624,0.6929124534523744,0.3677973261872946,0.1277076263268269,0.13334228804316006,0.5673690952279344,0.7156079837484803
Mbi3.30Zm1.79T02.7500_iTp0.00_ACFep00_aFem02,-0.11721711483362653,-0.08647431165646893,0.09195036751153125,0.13703442878432065,0.15258784447490234,0.7375509567630263,0.9167855542225438,0.47761412473428094,0.6637123733874826,0.7063373190450621,0.37099014430790184,0.12936035744033472,0.13374161147799393,0.5680657722501509,0.6972216079057243
Mbi3.30Zm1.79T03.0000_iTp0.00_ACFep00_aFem02,-0.11539928348506998,-0.08492585344680012,0.09064809392800807,0.1616844977016944,0.1502484822956353,0.7413370711538253,0.9145572309976364,0.4761093108019694,0.6649096019350665,0.7054335917321181,0.3726101827179971,0.12936275222740568,0.12765329440723464,0.5674257043894099,0.6948760179234372
Mbi3.30Zm1.79T03.2500_iTp0.00_ACFep00_aFem02,-0.11577968534598676,-0.08530428025053384,0.08907806655468578,0.1627717798263401,0.14858742382533396,0.7396609307139517,0.9091033121027212,0.4693617856056683,0.6654516330551402,0.7096788117239368,0.37701368112987765,0.1309532940880485,0.12882890728207042,0.564047834886022,0.6826432901513922
Mbi3.30Zm1.79T03.5000_iTp0.00_ACFep00_aFem02,-0.11329755180611169,-0.08315855745525963,0.0910693401108059,0.2206486613028408,0.14688506702488133,0.7585994643978868,0.9178441270656611,0.4748052621383681,0.6782164081576746,0.7202725476060617,0.3834570744890394,0.13421905144968335,0.13127698783083902,0.5723739099837942,0.6790261162685688
Mbi3.30Zm1.79T03.7500_iTp0.00_ACFep00_aFem02,-0.11159972920333361,-0.08164035818600286,0.09047496303565249,0.25749797232416327,0.1463788478146938,0.7647330778118316,0.9129233535619616,0.4766555347696475,0.6866754449825809,0.726857772572133,0.3890105759759786,0.1368167273040787,0.13323805040734926,0.5767759768905898,0.6744171680580934
