,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mku1.30Zm1.79T09.0000_iTp0.00_ACFep00_aFem02,-0.10848458565054514,-0.07843791668765955,0.0699011868476973,0.3475654389349965,0.11982726586558018,0.8101037128712618,0.9722775281860674,0.4554568123682635,0.6291836508584293,0.6371556631729631,0.33798393554392986,0.17650686141566355,0.11452089031353307,0.5362673158630399,0.7193282358395972
Mku1.30Zm1.79T09.5000_iTp0.00_ACFep00_aFem02,-0.10926575461497673,-0.07887120281662288,0.06936143989972722,0.3367975322850087,0.11814780021622756,0.8031669194728254,0.9573184621931485,0.4528950220179566,0.6288104586231908,0.6381967921531,0.33887323191549573,0.17654808279950646,0.11602270420867357,0.5347666903873748,0.7149051779150742
Mku1.30Zm1.79T10.0000_iTp0.00_ACFep00_aFem02,-0.11014273232221794,-0.07918792895640073,0.06768593201747454,0.3228400351821183,0.11778255991915318,0.7956692970927258,0.9499885147476393,0.4554148534256829,0.6315433310887605,0.638630682419251,0.3427448403347362,0.177290352797207,0.11766155931854647,0.5371386835619028,0.7170904908814849
Mku1.30Zm1.79T10.5000_iTp0.00_ACFep00_aFem02,-0.1131350027730446,-0.08162700713130427,0.0687947245708738,0.27372355907784096,0.11576735093388188,0.7814122381635455,0.9341127423233414,0.44905295833106496,0.6297751580912865,0.6380129981594729,0.3412224691990509,0.17583956016383948,0.11745859189521801,0.532764658391594,0.7084037756892335
Mku1.30Zm1.79T11.0000_iTp0.00_ACFep00_aFem02,-0.11251669494119397,-0.0804124134291315,0.06938426040297863,0.3039840424086627,0.11254601610384404,0.7862773334698507,0.9398241691308528,0.44688069036218897,0.6367965860868428,0.6429503870910519,0.3462748543758935,0.17842576405981145,0.12183532399850087,0.5341742245431587,0.6983891343028309
Mku1.30Zm1.79T11.5000_iTp0.00_ACFep00_aFem02,-0.11057617204042333,-0.07931241479546608,0.06476361420652693,0.3422328391498382,0.11713306885500863,0.8270874633828124,0.9839860574626567,0.44797455503735084,0.6541911777738225,0.6573588337546107,0.35844331934394225,0.17865585969095235,0.12560628387089345,0.5417179431868304,0.6831223378440557
Mku1.30Zm1.79T12.0000_iTp0.00_ACFep00_aFem02,-0.10661607762271186,-0.07575702577792853,0.06733113358450431,0.4028704439902402,0.12056013352940421,0.8268674282128161,0.9755016514721223,0.4403934625474367,0.656837606801756,0.6599187892444836,0.357790486154712,0.17719769698440377,0.12041131941528198,0.5381885627919932,0.6689065097686782
Mku1.30Zm1.79T12.5000_iTp0.00_ACFep00_aFem02,-0.10091892371694716,-0.07078382698485661,0.06282233823579957,0.4419237558665736,0.12813318915444555,0.8460415875017508,0.9974268810200312,0.4264054899744488,0.6648562535340012,0.6633807436468642,0.366701594096038,0.17721853927662953,0.12014100350665259,0.5322801801740826,0.6420623591715618
Mku1.30Zm1.79T13.0000_iTp0.00_ACFep00_aFem02,-0.09877437135507511,-0.06920339652465002,0.06272247818145926,0.48882800836695517,0.127403261676028,0.8399558666246282,0.985412360980703,0.42536759211851805,0.6678522831515177,0.668359207941059,0.3662649707331782,0.1785745713626261,0.11895732035245099,0.5330507422381168,0.6366770454439197
Mku1.30Zm1.79T13.5000_iTp0.00_ACFep00_aFem02,-0.09521036808386805,-0.06631907403340787,0.06251341253086978,0.551740577575413,0.13118700056513613,0.8526088381094636,0.9954774569409245,0.4308086383405738,0.6751611692467953,0.676947622995442,0.37034589468448637,0.18120776190226565,0.12039612034820792,0.5395190056907886,0.6372396079551448
